time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010447550000	20.0017	9.53181	4.51456	1.20915	0.386162	radar	2.42903	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0851	9.78478	4.58848	1.23445	0.391488	lidar	7.54092	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1492	10.0331	4.67211	1.26061	0.396088	radar	7.52327	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1992	10.3162	4.76491	1.29618	0.409539	lidar	7.48035	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.2269	10.5317	4.6324	1.32872	0.422283	radar	3.39391	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2828	10.8213	4.74927	1.35911	0.430521	lidar	15.7684	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.3152	11.0742	4.78104	1.388	0.436659	radar	5.17595	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3469	11.3223	4.8006	1.41431	0.440422	lidar	0.517589	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.3172	11.5349	4.56584	1.46209	0.467957	radar	12.4364	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3777	11.7953	4.64121	1.47797	0.462248	lidar	31.5374	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3978	12.0329	4.73257	1.49646	0.45506	radar	3.17279	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3833	12.3363	4.85578	1.53534	0.468816	lidar	8.79131	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.3505	12.5504	4.67502	1.57622	0.488696	radar	4.56755	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3672	12.8038	4.71645	1.5959	0.485068	lidar	10.1938	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
